Nome,Descrição,Preço,Categoria
Camiseta Básica,Camiseta de algodão 100% com corte regular.,49.9,Moda
Smartphone X10,Smartphone com 128GB de armazenamento e câmera de 48MP.,1999.99,Eletronicos
Chocolate Amargo 70%,Barra de chocolate premium com 70% de cacau.,12.5,Alimentos
Vinho Tinto Reserva,Vinho tinto envelhecido em barris de carvalho por 12 meses.,89.9,Bebidas
Sofá 3 Lugares,Sofá confortável com revestimento em tecido de alta qualidade.,1299,CasaDecoracao
Creme Hidratante Facial,Creme hidratante com ácido hialurônico para todos os tipos de pele.,59.9,SaudeBeleza
Bicicleta Mountain Bike,Bicicleta com suspensão dupla e 21 marchas.,2499,EsporteLazer
Livro: A Arte da Guerra,Clássico da literatura sobre estratégia e liderança.,29.9,Livros
Caderno Universitário,Caderno com 200 folhas pautadas e capa dura.,19.9,Papelaria
Boneca de Pano,Boneca artesanal feita com materiais hipoalergênicos.,39.9,Brinquedos
Relógio de Pulso Clássico,Relógio analógico com pulseira de couro genuíno.,249.9,Acessorios
Fone de Ouvido Bluetooth,Fone de ouvido sem fio com cancelamento de ruído ativo.,399.9,Eletronicos
Mesa de Escritório,Mesa compacta com acabamento em madeira e estrutura metálica.,599,CasaDecoracao
Tênis Esportivo,"Tênis leve e confortável, ideal para corridas e caminhadas.",299.9,EsporteLazer
Cafeteira Elétrica,"Cafeteira com capacidade para 1,5L e função de manter aquecido.",199.9,Eletrodomesticos
Jaqueta de Couro,Jaqueta estilosa feita com couro sintético de alta qualidade.,499.9,Moda
Kit de Ferramentas,Conjunto com 50 peças para reparos domésticos.,149.9,CasaDecoracao
Jogo de Panelas Antiaderentes,Conjunto com 5 panelas antiaderentes de alta durabilidade.,349.9,CasaDecoracao
Câmera Fotográfica Digital,Câmera compacta com resolução de 20MP e zoom óptico de 10x.,1299.9,Eletronicos
Vaso Decorativo de Cerâmica Branco,"Vaso de cerâmica com acabamento fosco, design moderno e elegante, perfeito para enfeitar sua sala ou escritório dwsed wedrwerfd",150,CasaDecoracao
Vaso Decorativo de Cerâmica Branco,"Vaso de cerâmica com acabamento fosco, design moderno e elegante, perfeito para enfeitar sua sala ou escritório",89.9,CasaDecoracao
